gene,pLI
CARD11,0.99995
CELSR3,0.99995
CENPI,0.99995
CNKSR2,0.99995
COG3,0.99995
COPB1,0.99995
DCHS1,0.99995
EEF2,0.99995
GRIPAP1,0.99995
HNRNPH1,0.99995
ITPKB,0.99995
MLLT6,0.99995
NEURL4,0.99995
NFATC2,0.99995
PITPNM3,0.99995
RAPGEF1,0.99995
SETD5,0.99995
SGIP1,0.99995
SMU1,0.99995
TFCP2L1,0.99995
UNK,0.99995
ACTN1,0.99994
APC2,0.99994
ARHGAP29,0.99994
CASKIN2,0.99994
CELF2,0.99994
CTCF,0.99994
EBF3,0.99994
ESCO1,0.99994
JADE2,0.99994
LRCH1,0.99994
LRP8,0.99994
MAP3K7,0.99994
MDM4,0.99994
NCL,0.99994
NDST1,0.99994
NOP2,0.99994
PAFAH1B1,0.99994
PARP6,0.99994
PRKCD,0.99994
RFWD2,0.99994
SALL4,0.99994
SF3B2,0.99994
SSBP3,0.99994
ST5,0.99994
STAT5A,0.99994
TBL1XR1,0.99994
TENM3,0.99994
UBA2,0.99994
ZNF512B,0.99994
ZNF516,0.99994
ANAPC2,0.99993
BTBD11,0.99993
CDC73,0.99993
CTIF,0.99993
EFEMP1,0.99993
FURIN,0.99993
MAML1,0.99993
MAML2,0.99993
PIK3CB,0.99993
PPP2R5D,0.99993
PSMD3,0.99993
RCOR1,0.99993
REV1,0.99993
RORB,0.99993
RUVBL2,0.99993
SAMD4B,0.99993
SEMA6A,0.99993
SFPQ,0.99993
SUFU,0.99993
SUGP2,0.99993
UTP15,0.99993
WBP11,0.99993
ZER1,0.99993
AGAP1,0.99992
ASAP2,0.99992
BRAF,0.99992
DAB2IP,0.99992
DDX26B,0.99992
FLT1,0.99992
GGA1,0.99992
MTSS1,0.99992
PRKD2,0.99992
SMC2,0.99992
SNAP91,0.99992
SOX6,0.99992
TIAL1,0.99992
ARHGAP30,0.99991
ATAD2,0.99991
DNAJC11,0.99991
HCFC2,0.99991
ISY1,0.99991
MAST3,0.99991
PPARGC1A,0.99991
PRKCG,0.99991
TIPARP,0.99991
UBN2,0.99991
ATN1,0.99990
CYLD,0.99990
DLGAP2,0.99990
DPYSL5,0.99990
HSPA4,0.99990
KIF5A,0.99990
KPNA4,0.99990
MAML3,0.99990
PLK2,0.99990
PPP3CA,0.99990
PRKAR1A,0.99990
PRKCE,0.99990
PRKG1,0.99990
RAD21,0.99990
SLC17A7,0.99990
SLC6A1,0.99990
TTBK1,0.99990
VAV1,0.99990
GABBR1,0.99989
INPP4A,0.99989
IREB2,0.99989
LRRC41,0.99989
PIAS4,0.99989
SORT1,0.99989
STIP1,0.99989
AKAP6,0.99988
DLC1,0.99988
FAM135B,0.99988
FAM193A,0.99988
HCN1,0.99988
LATS1,0.99988
MTMR3,0.99988
PRDM2,0.99988
PSMC2,0.99988
PSMD11,0.99988
PTK2,0.99988
SEMA3F,0.99988
UTP14A,0.99988
ZNF131,0.99988
BOD1L1,0.99987
DAZAP1,0.99987
EED,0.99987
EIF4A3,0.99987
GRAMD1B,0.99987
GSPT1,0.99987
IGSF1,0.99987
JAKMIP1,0.99987
KIAA1468,0.99987
OPHN1,0.99987
TCF4,0.99987
UBXN7,0.99987
ACTR3,0.99986
ATP7A,0.99986
DAB1,0.99986
EIF4A1,0.99986
HNRNPR,0.99986
MDM2,0.99986
RPL4,0.99986
SYK,0.99986
TEAD1,0.99986
USP3,0.99986
ZDHHC17,0.99986
ZNF800,0.99986
ENAH,0.99985
EXOC5,0.99985
LNPEP,0.99985
RBM39,0.99985
RSPRY1,0.99985
UBE3A,0.99985
CDK19,0.99984
CNOT2,0.99984
FLNC,0.99984
IPO9,0.99984
JADE1,0.99984
KLHL2,0.99984
RNF111,0.99984
ZBTB4,0.99984
CELSR2,0.99983
KDM7A,0.99983
LMTK2,0.99983
NCOA1,0.99983
RBM17,0.99983
SENP5,0.99983
ARHGAP32,0.99982
ARHGAP44,0.99982
CCDC22,0.99982
CDH11,0.99982
CRIM1,0.99982
CYTH1,0.99982
DDX3X,0.99982
FAM169A,0.99982
GRID1,0.99982
MAGI2,0.99982
PABPC1,0.99982
RAPH1,0.99982
ZBTB47,0.99982
BRSK1,0.99981
CCNK,0.99981
DLG4,0.99981
DLG5,0.99981
JADE3,0.99981
NLK,0.99981
RARB,0.99981
RBBP5,0.99981
SNX27,0.99981
UNC5A,0.99981
VPS54,0.99981
CPSF6,0.99980
SRGAP3,0.99980
USP10,0.99980
WDR48,0.99980
WDR5,0.99980
AGO4,0.99979
ARHGAP26,0.99979
CSK,0.99979
GRIA3,0.99979
GRIK2,0.99979
KDR,0.99979
NPAS3,0.99979
TNFAIP3,0.99979
TRAF2,0.99979
ACVR2A,0.99978
FMNL1,0.99978
KANSL1,0.99978
TAOK3,0.99978
TBC1D10B,0.99978
ZNF219,0.99978
BAI2,0.99977
CAMSAP1,0.99977
DPF2,0.99977
RORC,0.99977
SALL1,0.99977
STAT5B,0.99977
WDR1,0.99977
CELF1,0.99976
CFLAR,0.99976
CLCN3,0.99976
FZR1,0.99976
PIK3R1,0.99976
TMEM132D,0.99976
TPX2,0.99976
TRPC5,0.99976
ZNF445,0.99976
ZNFX1,0.99976
C10orf12,0.99975
IQSEC1,0.99975
SOBP,0.99975
TRIM9,0.99975
ZNF629,0.99975
ADCY2,0.99974
ISY1-RAB43,0.99974
LENG8,0.99974
NF1,0.99974
NLGN2,0.99974
ACTN2,0.99973
ASH2L,0.99973
EBF2,0.99973
KCNH4,0.99973
KIAA1429,0.99973
MEN1,0.99973
PDZD8,0.99973
SCARF2,0.99973
SLMAP,0.99973
FAF2,0.99972
HELLS,0.99972
MLLT3,0.99972
PLXNA1,0.99972
PTBP2,0.99972
STAU1,0.99972
CLOCK,0.99971
DSP,0.99971
EIF5B,0.99971
MTF2,0.99971
SAMD4A,0.99971
WEE1,0.99971
CCNA2,0.99970
CTDSPL2,0.99970
EIF3D,0.99970
GIT1,0.99970
NFKBIZ,0.99970
SAFB2,0.99970
WDR44,0.99970
DDX6,0.99969
DENND1A,0.99969
PPP1R9B,0.99969
PSMD12,0.99969
SNRK,0.99969
WTAP,0.99969
GLYR1,0.99968
KCNMA1,0.99968
PCDH19,0.99968
RBPJ,0.99968
DGCR8,0.99967
HERC4,0.99967
PAPOLG,0.99967
PPP1R16B,0.99967
SCFD1,0.99967
KPNA1,0.99966
MSN,0.99966
NCDN,0.99966
PAK7,0.99966
STXBP5,0.99966
HECW2,0.99965
PAX6,0.99965
PTBP1,0.99965
DCAF8,0.99964
EPS15L1,0.99964
FGFR1,0.99964
HNRNPUL2,0.99964
NR4A2,0.99964
PHF8,0.99963
RFX2,0.99963
SFMBT2,0.99963
SOS2,0.99963
MAPK8IP1,0.99962
MED15,0.99962
NELL2,0.99962
PCSK2,0.99962
PORCN,0.99962
ZCCHC8,0.99962
ZNF827,0.99962
BRD2,0.99961
EPB41L4B,0.99961
G3BP2,0.99961
HCN4,0.99961
HSPH1,0.99961
IRF6,0.99961
SLC39A10,0.99961
TBX5,0.99961
ASTN2,0.99960
TRIM71,0.99960
ZFP91,0.99960
DCLK1,0.99959
FBLN5,0.99959
SYVN1,0.99959
XPO5,0.99959
DYRK1A,0.99958
FUS,0.99958
HGF,0.99958
INO80D,0.99958
MAP4K5,0.99958
SLC4A8,0.99958
FAM208A,0.99957
HNF1B,0.99957
KCNB1,0.99957
SNW1,0.99957
AKT3,0.99956
COPS3,0.99956
MTMR4,0.99956
PRPF40B,0.99956
RBL2,0.99956
WWP1,0.99956
CPEB3,0.99955
KIAA2022,0.99955
NTRK3,0.99955
SPAST,0.99955
TOX3,0.99955
RNF8,0.99954
DACH1,0.99953
NAP1L1,0.99953
PHF19,0.99953
RNF40,0.99953
SF1,0.99953
BRD1,0.99952
L3MBTL3,0.99952
MBD6,0.99951
PSMC1,0.99951
SCML2,0.99951
SHOC2,0.99951
ZC3H12C,0.99951
EPHB1,0.99950
ZRANB2,0.99950
ATP2A2,0.99949
CUL3,0.99949
SWT1,0.99949
TFDP2,0.99949
FGD1,0.99948
ITGB8,0.99948
U2AF2,0.99948
ZNF536,0.99948
PAPD7,0.99947
PDE8B,0.99947
PHC1,0.99947
SESTD1,0.99947
MARK4,0.99946
PAPD5,0.99946
AGAP2,0.99945
CDK17,0.99945
LAS1L,0.99945
AGPAT3,0.99944
AUTS2,0.99944
CCT5,0.99944
HDAC7,0.99944
ING3,0.99944
MAOA,0.99944
STRBP,0.99944
SYNCRIP,0.99944
TAF5,0.99944
FBXO41,0.99943
FCHO2,0.99943
PPP5C,0.99943
UHRF2,0.99943
ADCY5,0.99942
JPH4,0.99942
POLR1B,0.99942
RELA,0.99942
ITGB1,0.99941
LCK,0.99941
ZNF644,0.99941
ESR1,0.99940
IGF2BP1,0.99940
LONP1,0.99940
NTN1,0.99940
PSIP1,0.99940
INTS3,0.99939
LGI1,0.99939
MAPKAPK2,0.99939
THOC1,0.99939
KPNA6,0.99938
SERBP1,0.99938
TKTL1,0.99938
YTHDF2,0.99938
AIFM1,0.99937
GATAD2A,0.99937
